"cancellation_policy","room_type","construction_year","service_fee","minimum_nights","number_of_reviews","reviews_per_month","review_rate_number","availability_365","price_usd","months_active","max_stays_per_month"
"strict","Private room",2009,211,5,2,0.07,4,0,1054,28.5714285714286,6.2
"flexible","Private room",2003,59,30,1,0.13,3,241,297,7.69230769230769,1.03333333333333
"moderate","Private room",2015,91,4,36,1.28,1,0,455,28.125,7.75
"flexible","Private room",2016,43,1,1,0.03,3,150,214,33.3333333333333,31
"moderate","Private room",2006,230,1,2,0.04,1,351,1150,50,31
"moderate","Private room",2008,72,1,2,0.22,3,0,361,9.09090909090909,31
"flexible","Shared room",2005,70,2,33,3.44,4,10,350,9.59302325581395,15.5
"strict","Private room",2017,72,3,15,0.54,1,0,360,27.7777777777778,10.3333333333333
"moderate","Entire home/apt",2013,237,5,46,1.23,1,223,1186,37.3983739837398,6.2
"strict","Entire home/apt",2022,34,1,1,0.02,4,0,172,50,31
"strict","Private room",2020,194,1,192,4.72,3,334,972,40.6779661016949,31
"strict","Shared room",2022,214,1,36,1.32,3,23,1070,27.2727272727273,31
"moderate","Private room",2018,185,3,50,4.07,2,7,925,12.2850122850123,10.3333333333333
"flexible","Entire home/apt",2019,95,2,24,0.77,1,0,477,31.1688311688312,15.5
"strict","Entire home/apt",2012,105,4,39,0.91,1,312,527,42.8571428571429,7.75
"moderate","Private room",2020,93,5,32,1.39,5,336,463,23.021582733813,6.2
"moderate","Private room",2005,180,30,1,0.08,2,18,902,12.5,1.03333333333333
"strict","Entire home/apt",2011,204,7,19,0.43,5,0,1020,44.1860465116279,4.42857142857143
"flexible","Private room",2010,35,1,1,1,5,84,176,1,31
"flexible","Shared room",2021,116,1,12,0.34,1,0,581,35.2941176470588,31
"flexible","Entire home/apt",2022,240,1,5,0.39,3,3,1199,12.8205128205128,31
"moderate","Private room",2022,224,2,2,0.09,2,0,1119,22.2222222222222,15.5
"strict","Private room",2021,186,4,42,1.46,4,316,930,28.7671232876712,7.75
"strict","Private room",2007,99,2,12,5.14,5,57,494,2.33463035019455,15.5
"flexible","Private room",2011,195,2,4,2.35,5,325,976,1.70212765957447,15.5
"moderate","Private room",2010,83,3,2,1.2,4,0,414,1.66666666666667,10.3333333333333
"flexible","Entire home/apt",2009,113,2,193,4.17,4,377,565,46.2829736211031,15.5
"flexible","Private room",2017,81,1,2,0.08,3,88,407,25,31
"moderate","Private room",2015,221,1,18,0.98,4,364,1104,18.3673469387755,31
"moderate","Private room",2003,165,1,1,0.21,3,61,827,4.76190476190476,31
"moderate","Entire home/apt",2014,82,30,68,0.6,4,211,411,113.333333333333,1.03333333333333
"strict","Private room",2015,202,2,1,0.05,4,0,1012,20,15.5
"strict","Entire home/apt",2020,182,30,1,0.17,2,326,909,5.88235294117647,1.03333333333333
"strict","Private room",2006,121,2,34,0.88,1,198,605,38.6363636363636,15.5
"strict","Private room",2021,126,1,6,0.26,3,53,629,23.0769230769231,31
"strict","Private room",2008,236,1,2,0.16,4,0,1179,12.5,31
"flexible","Private room",2014,58,3,89,1.12,5,261,290,79.4642857142857,10.3333333333333
"strict","Private room",2019,140,3,2,0.32,1,420,699,6.25,10.3333333333333
"moderate","Entire home/apt",2009,118,1,1,0.39,5,308,590,2.56410256410256,31
"flexible","Private room",2006,201,1,68,4.81,5,153,1003,14.1372141372141,31
"strict","Private room",2006,179,2,56,1.68,3,38,896,33.3333333333333,15.5
"strict","Entire home/apt",2006,28,7,1,1,4,233,142,1,4.42857142857143
"flexible","Entire home/apt",2014,38,3,105,1.49,5,307,190,70.4697986577181,10.3333333333333
"flexible","Private room",2020,161,7,9,0.99,2,358,806,9.09090909090909,4.42857142857143
"flexible","Private room",2004,112,1,19,0.55,5,0,562,34.5454545454545,31
"flexible","Private room",2015,83,3,55,3.67,2,12,414,14.9863760217984,10.3333333333333
"strict","Private room",2005,47,1,12,0.55,4,226,236,21.8181818181818,31
"flexible","Private room",2017,99,3,4,0.12,3,365,497,33.3333333333333,10.3333333333333
"moderate","Private room",2010,210,1,319,9.24,4,57,1048,34.5238095238095,31
"moderate","Entire home/apt",2011,19,2,6,2.14,4,331,96,2.80373831775701,15.5
"moderate","Entire home/apt",2017,228,2,2,0.08,5,0,1138,25,15.5
"flexible","Entire home/apt",2013,25,1,62,4.64,2,3,127,13.3620689655172,31
"strict","Shared room",2005,11,4,1,0.09,1,0,57,11.1111111111111,7.75
"moderate","Private room",2005,168,3,28,2.64,5,54,840,10.6060606060606,10.3333333333333
"flexible","Private room",2007,156,1,14,0.8,5,63,779,17.5,31
"strict","Entire home/apt",2010,31,2,70,0.73,4,256,154,95.8904109589041,15.5
"flexible","Private room",2005,86,2,11,0.32,4,239,430,34.375,15.5
"moderate","Private room",2007,150,1,54,3.07,3,0,752,17.5895765472313,31
"moderate","Entire home/apt",2007,81,1,141,3.54,4,216,406,39.8305084745763,31
"flexible","Entire home/apt",2009,162,2,29,12.79,2,304,809,2.26739640344019,15.5
"moderate","Entire home/apt",2021,32,1,36,2.51,2,171,162,14.3426294820717,31
"flexible","Private room",2016,177,2,45,1.44,1,183,885,31.25,15.5
"moderate","Entire home/apt",2013,95,3,44,4.41,3,175,473,9.97732426303855,10.3333333333333
"flexible","Entire home/apt",2003,64,3,3,0.36,1,14,319,8.33333333333333,10.3333333333333
"moderate","Entire home/apt",2009,134,1,43,7.87,2,307,672,5.46378653113088,31
"strict","Private room",2020,187,1,22,0.89,5,0,937,24.7191011235955,31
"strict","Private room",2021,140,1,37,1.84,2,0,701,20.1086956521739,31
"moderate","Private room",2004,29,4,2,0.07,3,0,145,28.5714285714286,7.75
"flexible","Private room",2004,106,1,31,1.08,1,1,528,28.7037037037037,31
"flexible","Entire home/apt",2017,177,7,1,0.04,1,356,883,25,4.42857142857143
"strict","Private room",2008,188,1,1,0.04,5,0,940,25,31
"moderate","Entire home/apt",2010,108,30,5,0.18,3,0,539,27.7777777777778,1.03333333333333
"strict","Entire home/apt",2018,207,2,19,0.41,5,68,1033,46.3414634146341,15.5
"strict","Entire home/apt",2008,12,3,6,2.86,4,119,60,2.0979020979021,10.3333333333333
"flexible","Private room",2011,101,3,8,0.24,4,0,504,33.3333333333333,10.3333333333333
"moderate","Shared room",2006,48,1,5,2.31,5,156,239,2.16450216450216,31
"flexible","Entire home/apt",2008,239,30,5,0.34,2,283,1193,14.7058823529412,1.03333333333333
"flexible","Private room",2004,60,2,24,0.44,2,381,302,54.5454545454545,15.5
"moderate","Private room",2011,107,2,76,2.42,5,46,537,31.404958677686,15.5
"strict","Entire home/apt",2022,125,3,28,2.71,2,333,625,10.3321033210332,10.3333333333333
"flexible","Entire home/apt",2011,201,1,40,2.08,2,364,1006,19.2307692307692,31
"flexible","Private room",2022,43,5,3,0.19,3,189,217,15.7894736842105,6.2
"strict","Private room",2008,39,1,9,0.94,5,364,196,9.57446808510638,31
"moderate","Private room",2021,223,30,2,0.19,3,254,1113,10.5263157894737,1.03333333333333
"strict","Entire home/apt",2022,151,6,2,0.04,2,73,755,50,5.16666666666667
"moderate","Entire home/apt",2011,181,7,8,2.53,3,176,904,3.16205533596838,4.42857142857143
"flexible","Entire home/apt",2015,27,2,4,0.08,4,320,133,50,15.5
"strict","Private room",2007,172,1,68,2.97,5,330,861,22.8956228956229,31
"moderate","Private room",2018,213,1,20,2.19,3,129,1066,9.1324200913242,31
"flexible","Private room",2005,47,1,15,2.37,5,90,237,6.32911392405063,31
"moderate","Entire home/apt",2009,109,3,4,1.3,2,157,544,3.07692307692308,10.3333333333333
"moderate","Private room",2015,119,2,5,0.66,3,0,595,7.57575757575758,15.5
"strict","Entire home/apt",2011,140,2,216,3.61,4,13,699,59.8337950138504,15.5
"strict","Private room",2016,147,5,19,1.26,3,0,737,15.0793650793651,6.2
"strict","Private room",2009,95,30,3,0.19,3,63,475,15.7894736842105,1.03333333333333
"strict","Private room",2016,220,2,64,0.76,4,74,1101,84.2105263157895,15.5
"strict","Entire home/apt",2011,71,5,9,0.26,2,0,354,34.6153846153846,6.2
"flexible","Private room",2022,199,2,131,3.88,5,333,996,33.7628865979381,15.5
"flexible","Entire home/apt",2007,85,3,3,0.08,2,367,427,37.5,10.3333333333333
"strict","Private room",2007,188,2,65,0.86,3,235,939,75.5813953488372,15.5
"flexible","Private room",2019,192,30,64,0.68,1,52,960,94.1176470588235,1.03333333333333
"moderate","Entire home/apt",2016,209,2,8,1.05,4,360,1045,7.61904761904762,15.5
"moderate","Private room",2019,68,3,33,2.22,4,282,339,14.8648648648649,10.3333333333333
"moderate","Private room",2022,42,3,2,0.07,1,0,210,28.5714285714286,10.3333333333333
"moderate","Private room",2022,134,1,27,1.09,2,342,668,24.7706422018349,31
"strict","Entire home/apt",2005,178,2,140,3.6,2,103,889,38.8888888888889,15.5
"strict","Private room",2003,177,4,8,0.64,2,157,883,12.5,7.75
"flexible","Entire home/apt",2011,90,1,92,4.09,5,312,451,22.4938875305623,31
"strict","Private room",2010,85,2,3,1.55,4,73,425,1.93548387096774,15.5
"strict","Private room",2005,33,2,30,0.86,1,170,165,34.8837209302326,15.5
"strict","Private room",2022,236,2,2,0.04,4,0,1182,50,15.5
"strict","Private room",2010,125,3,1,0.02,5,211,627,50,10.3333333333333
"moderate","Private room",2018,140,1,14,0.5,5,0,699,28,31
"moderate","Entire home/apt",2019,226,3,7,0.38,5,0,1131,18.4210526315789,10.3333333333333
"moderate","Entire home/apt",2022,160,1,7,0.21,1,6,801,33.3333333333333,31
"flexible","Entire home/apt",2020,138,7,86,1.84,2,8,691,46.7391304347826,4.42857142857143
"strict","Entire home/apt",2003,144,2,8,2.07,5,351,722,3.86473429951691,15.5
"strict","Entire home/apt",2011,116,2,5,2.94,2,86,578,1.70068027210884,15.5
"moderate","Private room",2007,152,1,49,1.86,4,105,758,26.3440860215054,31
"flexible","Private room",2022,225,2,48,1.45,4,72,1125,33.1034482758621,15.5
"flexible","Entire home/apt",2018,217,2,1,0.03,3,0,1084,33.3333333333333,15.5
"flexible","Entire home/apt",2017,195,2,1,0.03,3,0,977,33.3333333333333,15.5
"strict","Entire home/apt",2019,62,3,57,2.09,4,258,310,27.2727272727273,10.3333333333333
"strict","Entire home/apt",2010,190,1,63,4.83,3,357,950,13.0434782608696,31
"strict","Entire home/apt",2012,91,30,5,0.45,4,93,455,11.1111111111111,1.03333333333333
"flexible","Private room",2020,104,2,24,0.71,2,0,522,33.8028169014085,15.5
"strict","Entire home/apt",2010,236,1,24,2.06,2,314,1181,11.6504854368932,31
"moderate","Private room",2012,77,1,61,3.52,4,274,384,17.3295454545455,31
"strict","Private room",2003,201,30,30,0.58,3,318,1005,51.7241379310345,1.03333333333333
"moderate","Entire home/apt",2020,20,1,29,1.12,2,0,98,25.8928571428571,31
"strict","Entire home/apt",2016,169,30,2,0.06,1,45,845,33.3333333333333,1.03333333333333
"flexible","Private room",2019,81,2,12,0.18,5,47,403,66.6666666666667,15.5
"flexible","Entire home/apt",2019,136,3,8,0.34,2,0,682,23.5294117647059,10.3333333333333
"flexible","Private room",2022,156,4,1,0.24,2,52,781,4.16666666666667,7.75
"flexible","Entire home/apt",2014,236,1,104,2.86,2,97,1181,36.3636363636364,31
"strict","Entire home/apt",2017,118,30,29,0.4,1,83,589,72.5,1.03333333333333
"moderate","Private room",2018,207,1,142,6.44,4,115,1034,22.0496894409938,31
"strict","Entire home/apt",2011,105,2,1,0.47,2,3,523,2.12765957446809,15.5
"moderate","Entire home/apt",2003,87,3,147,2.33,3,108,435,63.0901287553648,10.3333333333333
"moderate","Private room",2011,69,1,3,1.5,3,163,347,2,31
"strict","Private room",2015,151,2,2,0.16,3,0,756,12.5,15.5
"moderate","Entire home/apt",2022,143,5,12,0.56,2,25,713,21.4285714285714,6.2
"strict","Private room",2020,41,1,40,2.08,2,0,206,19.2307692307692,31
"strict","Private room",2010,149,1,1,1,4,253,745,1,31
"strict","Entire home/apt",2011,148,6,35,2.48,5,0,738,14.1129032258065,5.16666666666667
"flexible","Entire home/apt",2009,38,2,5,1.88,4,272,192,2.65957446808511,15.5
"moderate","Private room",2019,45,2,13,3.79,4,13,225,3.43007915567282,15.5
"strict","Entire home/apt",2004,64,4,36,3.34,5,202,321,10.7784431137725,7.75
"moderate","Private room",2018,56,2,135,6.62,3,30,278,20.392749244713,15.5
"flexible","Entire home/apt",2006,40,2,141,2.5,2,8,198,56.4,15.5
"strict","Private room",2008,178,2,1,0.39,4,338,888,2.56410256410256,15.5
"strict","Entire home/apt",2012,89,2,5,1.42,3,2,446,3.52112676056338,15.5
"moderate","Entire home/apt",2010,125,7,5,0.53,2,0,625,9.43396226415094,4.42857142857143
"flexible","Entire home/apt",2003,55,2,29,0.93,3,82,277,31.1827956989247,15.5
"moderate","Private room",2016,197,3,1,0.03,5,0,986,33.3333333333333,10.3333333333333
"strict","Entire home/apt",2013,12,30,2,0.82,5,0,59,2.4390243902439,1.03333333333333
"moderate","Private room",2009,28,1,50,1.87,2,29,141,26.7379679144385,31
"strict","Private room",2012,216,2,97,3.63,3,82,1079,26.7217630853994,15.5
"strict","Entire home/apt",2012,198,3,3,0.1,2,0,991,30,10.3333333333333
"flexible","Private room",2004,50,5,9,0.28,1,342,250,32.1428571428571,6.2
"strict","Private room",2016,68,30,1,0.21,3,364,338,4.76190476190476,1.03333333333333
"flexible","Entire home/apt",2007,215,4,16,1.68,4,0,1074,9.52380952380952,7.75
"flexible","Private room",2009,128,30,5,0.37,4,329,638,13.5135135135135,1.03333333333333
"moderate","Entire home/apt",2018,100,2,32,2.74,3,17,499,11.6788321167883,15.5
"flexible","Private room",2022,127,1,3,0.44,3,0,635,6.81818181818182,31
"strict","Entire home/apt",2007,96,2,26,0.9,3,10,481,28.8888888888889,15.5
"strict","Private room",2020,16,31,116,0.96,2,0,82,120.833333333333,1
"moderate","Entire home/apt",2003,74,1,1,0.02,4,2,368,50,31
"flexible","Private room",2021,117,1,209,7.18,5,252,585,29.108635097493,31
"moderate","Entire home/apt",2021,46,2,20,3.3,3,121,230,6.06060606060606,15.5
"flexible","Private room",2006,43,4,5,0.76,4,76,213,6.57894736842105,7.75
"moderate","Private room",2004,124,1,1,0.03,3,0,620,33.3333333333333,31
"strict","Private room",2013,95,1,1,0.45,5,0,476,2.22222222222222,31
"moderate","Private room",2003,22,30,4,0.48,5,246,108,8.33333333333333,1.03333333333333
"flexible","Entire home/apt",2016,77,2,9,2.18,4,180,387,4.12844036697248,15.5
"flexible","Entire home/apt",2003,228,5,2,0.32,4,49,1138,6.25,6.2
"moderate","Entire home/apt",2004,86,3,21,0.44,1,0,431,47.7272727272727,10.3333333333333
"strict","Private room",2005,221,2,4,0.17,4,4,1107,23.5294117647059,15.5
"strict","Entire home/apt",2015,63,2,228,3.89,3,117,314,58.6118251928021,15.5
"flexible","Entire home/apt",2012,35,7,38,1.11,4,0,173,34.2342342342342,4.42857142857143
"moderate","Entire home/apt",2005,46,4,3,0.32,4,179,232,9.375,7.75
"strict","Entire home/apt",2005,120,7,24,0.71,5,93,602,33.8028169014085,4.42857142857143
"flexible","Entire home/apt",2019,40,2,4,0.14,4,0,202,28.5714285714286,15.5
"moderate","Entire home/apt",2020,206,2,11,2.75,4,269,1028,4,15.5
"moderate","Entire home/apt",2010,104,3,106,1.42,5,248,520,74.6478873239437,10.3333333333333
"strict","Entire home/apt",2016,119,3,110,2.82,5,43,597,39.0070921985816,10.3333333333333
"flexible","Entire home/apt",2011,143,6,3,0.43,4,59,713,6.97674418604651,5.16666666666667
"moderate","Private room",2018,35,3,96,2.8,3,134,177,34.2857142857143,10.3333333333333
"flexible","Entire home/apt",2018,15,3,22,2.06,5,251,75,10.6796116504854,10.3333333333333
"strict","Private room",2006,219,4,2,0.09,2,355,1097,22.2222222222222,7.75
"strict","Private room",2007,107,1,58,3.65,3,152,533,15.8904109589041,31
"flexible","Entire home/apt",2003,149,30,1,0.75,5,311,746,1.33333333333333,1.03333333333333
"strict","Private room",2019,111,2,28,2.51,2,27,556,11.1553784860558,15.5
"flexible","Private room",2019,11,2,7,0.08,3,240,56,87.5,15.5
"moderate","Private room",2012,51,1,14,2.22,4,27,257,6.30630630630631,31
"strict","Entire home/apt",2016,141,1,19,8.38,4,5,703,2.2673031026253,31
"flexible","Entire home/apt",2022,28,1,94,1.92,5,384,138,48.9583333333333,31
"flexible","Private room",2009,193,1,1,0.75,2,364,966,1.33333333333333,31
"strict","Private room",2004,57,1,5,0.21,5,0,284,23.8095238095238,31
"flexible","Private room",2004,152,2,34,2.07,5,126,758,16.4251207729469,15.5
"moderate","Entire home/apt",2020,141,3,64,2.15,2,72,703,29.7674418604651,10.3333333333333
"moderate","Entire home/apt",2013,238,2,26,2.6,5,355,1189,10,15.5
"moderate","Private room",2022,236,5,2,0.05,1,376,1179,40,6.2
"moderate","Private room",2017,74,14,32,1.14,3,72,370,28.0701754385965,2.21428571428571
"flexible","Private room",2009,69,7,7,0.12,4,304,345,58.3333333333333,4.42857142857143
"flexible","Private room",2018,96,3,132,1.68,2,100,482,78.5714285714286,10.3333333333333
"flexible","Private room",2015,173,1,24,0.92,5,0,865,26.0869565217391,31
"flexible","Private room",2005,84,1,7,0.46,2,0,418,15.2173913043478,31
"flexible","Private room",2017,224,3,10,0.57,3,0,1120,17.5438596491228,10.3333333333333
"strict","Entire home/apt",2013,72,6,6,0.42,5,20,361,14.2857142857143,5.16666666666667
"strict","Private room",2007,33,5,3,0.17,5,364,166,17.6470588235294,6.2
"flexible","Private room",2004,10,2,177,4.62,4,357,50,38.3116883116883,15.5
"flexible","Entire home/apt",2012,143,3,28,2.35,4,208,714,11.9148936170213,10.3333333333333
"flexible","Entire home/apt",2008,36,2,13,0.37,4,0,179,35.1351351351351,15.5
"moderate","Private room",2009,16,1,2,2,4,365,81,1,31
"flexible","Entire home/apt",2015,49,2,1,0.03,1,112,243,33.3333333333333,15.5
"moderate","Private room",2015,17,1,43,1.64,4,55,83,26.219512195122,31
"moderate","Private room",2020,210,7,8,0.34,4,188,1049,23.5294117647059,4.42857142857143
"strict","Entire home/apt",2006,88,4,14,0.23,5,418,440,60.8695652173913,7.75
"moderate","Private room",2021,116,3,258,2.7,1,130,581,95.5555555555555,10.3333333333333
"strict","Entire home/apt",2022,140,30,11,0.19,5,64,700,57.8947368421053,1.03333333333333
"moderate","Private room",2016,221,1,1,1,2,358,1103,1,31
"strict","Entire home/apt",2015,196,2,115,2.56,1,402,980,44.921875,15.5
"flexible","Private room",2018,152,2,2,0.05,5,314,759,40,15.5
"moderate","Entire home/apt",2022,187,5,11,0.12,5,0,937,91.6666666666667,6.2
"moderate","Private room",2008,210,7,10,0.25,1,45,1050,40,4.42857142857143
"moderate","Private room",2012,132,2,16,0.47,4,0,660,34.0425531914894,15.5
"strict","Entire home/apt",2007,36,3,43,3.84,4,88,178,11.1979166666667,10.3333333333333
"flexible","Entire home/apt",2018,128,1,20,1.89,5,44,640,10.5820105820106,31
"strict","Entire home/apt",2019,168,5,11,0.88,5,45,838,12.5,6.2
"strict","Entire home/apt",2009,228,4,3,0.19,3,3,1141,15.7894736842105,7.75
"flexible","Entire home/apt",2014,38,3,105,1.49,5,274,190,70.4697986577181,10.3333333333333
"strict","Entire home/apt",2016,162,30,18,0.7,5,213,812,25.7142857142857,1.03333333333333
"strict","Private room",2009,137,2,52,3.63,5,224,684,14.3250688705234,15.5
"moderate","Entire home/apt",2010,125,7,5,0.53,2,0,625,9.43396226415094,4.42857142857143
"flexible","Entire home/apt",2003,76,5,16,0.18,5,63,380,88.8888888888889,6.2
"flexible","Entire home/apt",2015,19,1,2,1.28,5,95,93,1.5625,31
"moderate","Entire home/apt",2015,24,30,15,0.26,2,42,118,57.6923076923077,1.03333333333333
"flexible","Entire home/apt",2013,134,16,9,0.24,2,134,671,37.5,1.9375
"flexible","Entire home/apt",2015,31,6,6,0.09,2,85,153,66.6666666666667,5.16666666666667
"flexible","Entire home/apt",2010,182,2,1,0.03,2,0,911,33.3333333333333,15.5
"strict","Private room",2006,129,3,19,0.67,4,0,646,28.3582089552239,10.3333333333333
"flexible","Entire home/apt",2022,180,6,6,0.3,5,0,901,20,5.16666666666667
"flexible","Entire home/apt",2020,175,3,12,3.71,3,38,875,3.23450134770889,10.3333333333333
"strict","Private room",2015,136,3,4,0.16,4,0,678,25,10.3333333333333
"strict","Entire home/apt",2006,80,30,5,0.21,5,200,400,23.8095238095238,1.03333333333333
"strict","Entire home/apt",2011,204,2,45,2.89,2,269,1021,15.5709342560554,15.5
"flexible","Private room",2013,180,6,7,0.23,5,19,901,30.4347826086957,5.16666666666667
"strict","Entire home/apt",2016,171,3,8,0.24,1,0,855,33.3333333333333,10.3333333333333
"moderate","Private room",2015,233,3,77,3.98,5,45,1167,19.3467336683417,10.3333333333333
"flexible","Private room",2008,105,1,2,0.08,2,90,525,25,31
"strict","Private room",2017,80,1,3,0.16,5,0,401,18.75,31
"flexible","Private room",2019,91,4,3,0.21,4,179,454,14.2857142857143,7.75
"moderate","Private room",2014,55,14,35,1.58,5,215,274,22.1518987341772,2.21428571428571
"flexible","Entire home/apt",2008,149,2,10,0.86,3,0,743,11.6279069767442,15.5
"flexible","Private room",2018,166,6,81,1.7,3,335,831,47.6470588235294,5.16666666666667
"flexible","Private room",2009,238,14,1,1,4,321,1190,1,2.21428571428571
"flexible","Entire home/apt",2017,179,30,9,0.2,3,56,894,45,1.03333333333333
"strict","Private room",2007,187,5,73,1.25,3,0,937,58.4,6.2
"strict","Entire home/apt",2016,88,6,30,1.84,2,0,442,16.304347826087,5.16666666666667
"flexible","Private room",2010,170,2,1,0.09,3,0,850,11.1111111111111,15.5
"strict","Entire home/apt",2006,35,3,83,2.43,3,218,173,34.156378600823,10.3333333333333
"moderate","Private room",2022,194,1,3,2.2,3,179,971,1.36363636363636,31
"moderate","Private room",2021,18,3,31,2.75,2,345,88,11.2727272727273,10.3333333333333
"flexible","Private room",2014,219,1,96,6.56,2,44,1094,14.6341463414634,31
"strict","Entire home/apt",2017,178,3,31,1.08,2,136,888,28.7037037037037,10.3333333333333
"moderate","Entire home/apt",2012,168,3,23,0.64,2,351,839,35.9375,10.3333333333333
"strict","Entire home/apt",2016,137,30,1,0.12,5,204,686,8.33333333333333,1.03333333333333
"strict","Entire home/apt",2013,103,3,9,0.31,2,298,516,29.0322580645161,10.3333333333333
"moderate","Private room",2013,163,1,11,0.24,5,160,813,45.8333333333333,31
"strict","Private room",2020,147,2,9,0.36,2,390,735,25,15.5
"flexible","Entire home/apt",2022,147,1,15,0.19,2,188,733,78.9473684210526,31
"strict","Entire home/apt",2017,215,5,1,0.02,3,366,1073,50,6.2
"flexible","Entire home/apt",2015,15,2,10,0.18,3,316,74,55.5555555555556,15.5
"strict","Private room",2003,197,1,56,0.64,5,425,983,87.5,31
"flexible","Private room",2013,25,1,67,1.78,2,348,123,37.6404494382022,31
